ID,SIMILARITY,MATCHED_ID
0018d000006ytVSCLR,0.7932698160625827,0018d000006ytVSAXX
0018d000006ytVSALT,0.8333333333333334,0018d000006ytVSAXF
0018d000006ytVSAWS,0.4803214165644419,0018d000006ytVSAXF
0018d000006ytVSALT,0.39698808323110857,0018d000006ytVSAWS
0018d000006ytVSAAV,0.526175628297398,0018d000006ytVSAWS
0018d000006ytTSCMC,0.8185740290881142,0018d000006ytVSAYB
0018d000006ytQSCMC,0.6099728712558691,0018d000006ytVSBYE
0018d000006ytQSCMC,0.36314081002628135,0018d000006ytVSBPD
0018d000006ytVSCMV,0.6534863925555363,0018d000006ytVSBQH
0018d000006ytCSCNC,0.9526919185119316,0018d000006ytVSAXG
0018d000006ytVSCNC,0.5748509905969882,0018d000006ytVSAYG
0018d000006ytVSCNY,0.26648994475904436,0018d000006ytVSATM
0018d000006ytUSCOC,1.0,0018d000006ytVSAXZ
0018d000006ytVSAAP,0.20456590049308943,0018d000006ytVSATU
0018d000006ytVSCON,0.52971228242163,0018d000006ytVSAXH
0018d000006ytVSBRM,1.0,0018d000006ytVSAXH
0018d000006ytVSCON,0.52971228242163,0018d000006ytVSBRM
0018d000006ytVSCOO,0.4968153299625328,0018d000006ytVSBSV
0018d000006ytVSLPC,0.5833333333333334,0018d000006ytVSAXV
0018d000006ytVSBNU,0.6055673434918886,0018d000006ytVSAXV
0018d000006ytVSCPE,0.9166666666666666,0018d000006ytVSAXT
0018d000006ytVSCPH,0.398676792634398,0018d000006ytVSBQY
0018d000006ytVSCQE,1.0,0018d000006ytVSAYF
0018d000006ytVSCQG,0.912883800277749,0018d000006ytVSAXY
0018d000006ytVSAXL,0.8677027994718669,0018d000006ytVSAXY
0018d000006ytVSCQG,0.8980340767400131,0018d000006ytVSAXL
0018d000006ytVSCRE,0.22428817851947214,0018d000006ytVSAWN
0018d000006ytVSCRI,0.9064837848988697,0018d000006ytVSAXU
0018d000006ytVSCRK,0.7796268591812803,0018d000006ytVSAXR
0018d000006ytVSAWQ,0.21736985115715882,0018d000006ytVSAXR
0018d000006ytVSCRV,0.9166666666666666,0018d000006ytVSAXN
0018d000006ytVSCSD,0.4343716341181658,0018d000006ytTSCSD
0018d000006ytVSCSR,0.48976446285198466,0018d000006ytVSBOI
0018d000006ytVZAAC,0.9166666666666666,0018d000006ytVSAYA
0018d000006ytVSAXK,0.9166666666666666,0018d000006ytVSAYA
0018d000006ytVZAAC,0.9166666666666666,0018d000006ytVSAXK
0018d000006ytVSAAF,0.25976351674357145,0018d000006ytVSAWM
0018d000006ytVSAIA,0.9166666666666666,0018d000006ytVSAYI
0018d000006ytVSAKF,0.4630079891605587,0018d000006ytVSAXQ
0018d000006ytVSBML,0.51831560339522,0018d000006ytVSAVS
0018d000006ytVSBML,0.253532161545958,0018d000006ytVSAWP
0018d000006ytVSBMQ,0.2697080952264634,0018d000006ytVSBOU
0018d000006ytVSBMS,0.9166666666666666,0018d000006ytVSAYD
0018d000006ytVSBNE,0.945,0018d000006ytVSBYF
0018d000006ytVSBNK,1.0,0018d000006ytVSBYI
0018d000006ytVSBNO,0.570396910573728,0018d000006ytVSAUJ
0018d000006ytVSBNT,1.0,0018d000006ytVSAYH
0018d000006ytVSBNV,0.9166666666666666,0018d000006ytVSBYK
0018d000006ytVSBNY,0.5582956751509179,0018d000006ytVSATX
0018d000006ytVMBOL,0.5301075194274297,0018d000006ytVSATX
0018d000006ytVSBNY,0.5230480330209747,0018d000006ytVMBOL
0018d000006ytVSBOL,1.0,0018d000006ytVSAYJ
0018d000006ytVSBOH,0.2546486535832117,0018d000006ytVSAUT
0018d000006ytVMBOL,0.5833333333333334,0018d000006ytVSAXJ
0018d000006ytVSBOO,0.7221866719776178,0018d000006ytVSBYG
0018d000006ytVSBPH,0.9166666666666666,0018d000006ytVSAXP
0018d000006ytVSBPM,0.3942099883877126,0018d000006ytVSAXM
0018d000006ytVSBPS,0.2569865934548817,0018d000006ytVSAUQ
0018d000006ytVSBPY,1.0,0018d000006ytVSAYC
0018d000006ytVTBQB,1.0,0018d000006ytVSAXI
0018d000006ytVSBQI,0.926636039813665,0018d000006ytVSAXW
0018d000006ytVSBQJ,0.2663038284510306,0018d000006ytVSBRO
0018d000006ytVSBRU,0.9166666666666666,0018d000006ytVSAXE
0018d000006ytTSBSB,1.0,0018d000006ytVSAXO
0018d000006ytVSBSG,0.5591595844713457,0018d000006ytVSAXS
0018d000006ytVSBSM,1.0,0018d000006ytVSAYE
0018d000006ytVSBSR,0.5833333333333334,0018d000006ytVSAWV
0018d000006ytVSBSU,0.9166666666666666,0018d000006ytVSAXC
0018d000006ytVSATI,0.7377118649701572,0018d000006ytVSBYH
0018d000006ytVSAUE,0.6138018652913024,0018d000006ytVSAXB
0018d000006ytVSAUI,0.9166666666666666,0018d000006ytVSAXA
0018d000006ytVSAUL,0.8177820127548722,0018d000006ytVSAXD
0018d000006ytVSAUU,0.6412865714230085,0018d000006ytVSAWU
0018d000006ytVSAVF,1.0,0018d000006ytVSAWZ
0018d000006ytVSAVJ,0.8603144789372443,0018d000006ytVSAWY
0018d000006ytVSAVP,0.638637557460373,0018d000006ytVSAWT
0018d000006ytVSAVV,0.9666179105668142,0018d000006ytVSAWX
0018d000006ytVSAWH,0.8717466761821305,0018d000006ytVSAWW
